"Activity.Type","Date","Favorite","Title","Distance","Calories","Time","Avg.HR","Max.HR","Aerobic.TE","Avg.Run.Cadence","Max.Run.Cadence","Avg.Pace","Best.Pace","Total.Ascent","Total.Descent","Avg.Stride.Length","Avg.Vertical.Ratio","Avg.Vertical.Oscillation","Avg.Ground.Contact.Time","Training.Stress.Score.","Avg.Power","Max.Power","Grit","Flow","Total.Strokes","Avg..Swolf","Avg.Stroke.Rate","Total.Reps","Dive.Time","Min.Temp","Surface.Interval","Decompression","Best.Lap.Time","Number.of.Laps","Max.Temp","Moving.Time","Elapsed.Time","Min.Elevation","Max.Elevation","date_time","date_cal","Time_hms","temp","cat_dist","HR_zone","pace"
"Treadmill Running","2024-03-09 18:43:40","false","Treadmill Running",4.2,"484","00:37:40",153,161,2.6,"165","180","8:58","8:10","--","--",1.09,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:01:43.5",5,NA,"00:36:45","00:37:40","--","--",2024-03-09 18:43:40,2024-03-09,00:37:40,2000-12-12 00:08:58,"short","Zone_3",538
"Treadmill Running","2024-03-06 19:56:21","false","Treadmill Running",4.02,"484","00:36:03",158,177,2.8,"165","175","8:58","8:24","--","--",1.06,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:08:14.4",4,NA,"00:35:27","00:36:03","--","--",2024-03-06 19:56:21,2024-03-06,00:36:03,2000-12-12 00:08:58,"short","Zone_3",538
"Running","2024-04-21 12:11:30","false","Waterville Running",18.54,"2,290","02:46:48",166,184,5,"167","177","9:00","7:30","1,065","1,045",1.07,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:01:27.9",20,NA,"02:46:44","02:47:42","95","469",2024-04-21 12:11:30,2024-04-21,02:46:48,2000-12-12 00:09:00,"long","Zone_4",540
"Running","2024-04-03 16:20:58","false","Waterville Running",5.67,"719","00:51:10",164,181,3.5,"163","168","9:02","7:41","280","289",1.09,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:05:52.9",6,NA,"00:51:09","00:51:53","92","345",2024-04-03 16:20:58,2024-04-03,00:51:10,2000-12-12 00:09:02,"medium","Zone_4",542
"Treadmill Running","2024-02-26 19:59:40","false","Treadmill Running",3.91,"439","00:35:21",151,165,2.5,"165","173","9:02","8:27","--","--",1.08,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:08:04.4",4,NA,"00:34:38","00:35:40","--","--",2024-02-26 19:59:40,2024-02-26,00:35:21,2000-12-12 00:09:02,"short","Zone_3",542
"Treadmill Running","2024-02-10 15:01:15","false","Treadmill Running",4,"475","00:36:12",158,171,3,"167","173","9:03","7:41","--","--",1.17,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:03:32.6",5,NA,"00:36:07","00:36:12","--","--",2024-02-10 15:01:15,2024-02-10,00:36:12,2000-12-12 00:09:03,"short","Zone_3",543
"Running","2024-03-03 16:33:29","false","Waterville Running",6.31,"776","00:57:16",156,174,3.2,"164","172","9:04","8:06","361","368",1.08,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:02:48.8",7,NA,"00:57:14","00:57:16","92","347",2024-03-03 16:33:29,2024-03-03,00:57:16,2000-12-12 00:09:04,"medium","Zone_3",544
"Running","2024-02-11 14:10:29","false","Oakland Running",11.49,"1,405","01:44:05",164,183,4.1,"163","176","9:04","7:34","470","415",1.09,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:04:08.4",12,NA,"01:43:43","01:46:10","95","277",2024-02-11 14:10:29,2024-02-11,01:44:05,2000-12-12 00:09:04,"long","Zone_4",544
"Treadmill Running","2024-03-05 16:45:59","false","Treadmill Running",5.2,"624","00:47:15",156,168,2.9,"165","240","9:05","7:30","--","--",0.92,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:04:57.8",5,NA,"00:46:25","00:47:29","--","--",2024-03-05 16:45:59,2024-03-05,00:47:15,2000-12-12 00:09:05,"medium","Zone_3",545
"Running","2024-05-02 14:24:41","false","Waterville Running",7.16,"926","01:05:18",167,185,3.6,"168","181","9:07","7:56","354","321",1.05,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:01:26.6",8,NA,"01:05:15","01:05:18","92","347",2024-05-02 14:24:41,2024-05-02,01:05:18,2000-12-12 00:09:07,"medium","Zone_4",547
