Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2024-01-10 17:10:30,false,"Treadmill Running","4.00","425","00:39:37","148","163","2.8","152","173","9:54","7:29","--","--","1.05","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:04:59.4","5","NaN","00:35:44","00:39:37","--","--"
Treadmill Running,2024-01-09 17:12:00,false,"Treadmill Running","6.00","715","00:59:10","160","189","4.2","155","200","9:52","8:11","--","--","1.00","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:09:05.2","6","NaN","00:55:38","00:59:10","--","--"
Treadmill Running,2024-01-04 10:13:59,false,"Treadmill Running","9.05","1,300","01:30:47","175","192","5.0","161","233","10:02","7:18","--","--","1.01","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:02:23.2","10","NaN","01:28:51","01:30:47","--","--"
Treadmill Running,2024-01-02 13:47:02,false,"Treadmill Running","6.03","753","01:02:23","157","179","3.5","160","173","10:21","6:25","--","--","1.21","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:00:00.7","11","NaN","01:01:23","01:02:23","--","--"
Running,2024-01-01 02:41:05,false,"Running","0.00","--","00:00:04.6","73","74","0.0","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:00:04.6","1","NaN","00:00:00","00:00:04.6","--","--"
Running,2023-12-01 15:13:53,false,"Waterville Running","4.60","521","00:35:45","168","190","3.5","165","180","7:46","6:09","255","172","1.25","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:01:37.3","6","NaN","00:35:44","00:35:46","97","368"
Indoor Rowing,2022-01-21 04:15:51,false,"Indoor Rowing","--","197","00:40:16","104","122","0.3","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","782","NaN","NaN","NaN","NaN:NaN","75.2","NaN:NaN","No","00:00:02.7","3","78.8","00:00:00","00:40:16","--","--"
Indoor Rowing,2022-01-03 16:39:18,false,"Indoor Rowing","--","195","00:38:47","103","164","1.0","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","429","NaN","NaN","NaN","NaN:NaN","75.2","NaN:NaN","No","00:00:01.4","4","86.0","00:00:00","00:38:47","--","--"
Indoor Cycling,2021-12-26 13:07:19,false,"Indoor Cycling","0.00","388","00:28:28","164","197","3.4","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","80.6","NaN:NaN","No","00:28:28","1","86.0","00:00:00","00:28:28","--","--"
Indoor Cycling,2021-12-25 15:12:47,false,"Indoor Cycling","0.00","547","00:47:44","150","198","3.7","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","80.6","NaN:NaN","No","00:47:44","1","84.2","00:00:00","00:47:44","--","--"
Running,2021-10-29 20:21:17,false,"Running","0.00","11","08:15:27","72","118","0.1","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","75.2","NaN:NaN","No","00:00:02.3","3","87.8","00:00:00","08:15:27","3,205","3,246"
Running,2021-10-07 16:38:44,false,"Running","0.68","72","00:05:27.3","157","167","1.7","162","210","8:04","5:15","--","7","1.23","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","73.4","NaN:NaN","No","00:05:27.3","1","77.0","00:05:22","00:05:27.3","2,684","2,694"
